ms,electrode
1824591,0.463
1825602,0.465
1826613,0.471
1827624,0.478
1828635,0.466
1829646,0.475
1830657,0.470
1831668,0.471
1832679,0.467
1833690,0.458
1834705,0.468
1835716,0.469
1836727,0.470
1837738,0.458
1838749,0.465
1839760,0.454
1840771,0.460
1841782,0.465
1842793,0.458
1843804,0.454
1844815,0.464
1845826,0.455
1846837,0.453
1847848,0.459
1848859,0.451
1849870,0.453
1850881,0.453
1851892,0.458
1852903,0.463
1853914,0.461
1854925,0.464
1855936,0.466
1856947,0.450
1857958,0.463
1858969,0.464
1859980,0.472
1860991,0.474
1862002,0.478
1863013,0.466
1864024,0.467
1865035,0.473
1866046,0.462
1867057,0.462
1868068,0.464
1869083,0.456
1870094,0.470
1871105,0.469
1872116,0.469
1873127,0.464
1874138,0.464
1875149,0.473
1876160,0.470
1877171,0.468
1878182,0.464
1879193,0.458
1880204,0.457
1881215,0.464
1882226,0.453
1883237,0.451
1884248,0.454
1885259,0.453
1886270,0.451
1887281,0.449
1888292,0.459
